NUMPERIODO|FECPROCESO|NUMRIESGO|NUMDEPARTAMENTO|NUMANTIGUEDAD|NUMSEGMENTO|NUMGCU|CANTIDAD
202108|2021-08-01 00:00:00.0|1|1|1|1|2|1
202108|2021-08-01 00:00:00.0|1|1|1|2|2|153
202108|2021-08-01 00:00:00.0|1|1|1|3|2|165
202108|2021-08-01 00:00:00.0|1|1|2|2|2|110
202108|2021-08-01 00:00:00.0|1|1|2|3|2|87
202108|2021-08-01 00:00:00.0|1|1|3|2|2|81
202108|2021-08-01 00:00:00.0|1|1|3|3|2|92
202108|2021-08-01 00:00:00.0|1|1|4|2|2|14
202108|2021-08-01 00:00:00.0|1|1|4|3|2|4
202108|2021-08-01 00:00:00.0|1|1|5|2|2|11
202108|2021-08-01 00:00:00.0|1|1|5|3|2|7
202108|2021-08-01 00:00:00.0|1|2|1|1|2|2
202108|2021-08-01 00:00:00.0|1|2|1|2|2|1017
202108|2021-08-01 00:00:00.0|1|2|1|3|2|1096
202108|2021-08-01 00:00:00.0|1|2|2|1|2|1
202108|2021-08-01 00:00:00.0|1|2|2|2|2|541
202108|2021-08-01 00:00:00.0|1|2|2|3|2|493
202108|2021-08-01 00:00:00.0|1|2|3|1|2|3
202108|2021-08-01 00:00:00.0|1|2|3|2|2|424
202108|2021-08-01 00:00:00.0|1|2|3|3|2|591
202108|2021-08-01 00:00:00.0|1|2|4|2|2|84
202108|2021-08-01 00:00:00.0|1|2|4|3|2|52
202108|2021-08-01 00:00:00.0|1|2|5|1|2|2
202108|2021-08-01 00:00:00.0|1|2|5|2|2|91
202108|2021-08-01 00:00:00.0|1|2|5|3|2|47
202108|2021-08-01 00:00:00.0|1|3|1|2|2|82
202108|2021-08-01 00:00:00.0|1|3|1|3|2|96
202108|2021-08-01 00:00:00.0|1|3|2|2|2|81
202108|2021-08-01 00:00:00.0|1|3|2|3|2|45
202108|2021-08-01 00:00:00.0|1|3|3|2|2|56
202108|2021-08-01 00:00:00.0|1|3|3|3|2|50
202108|2021-08-01 00:00:00.0|1|3|4|2|2|12
202108|2021-08-01 00:00:00.0|1|3|4|3|2|3
202108|2021-08-01 00:00:00.0|1|3|5|2|2|6
202108|2021-08-01 00:00:00.0|1|3|5|3|2|5
202108|2021-08-01 00:00:00.0|1|4|1|1|2|2
202108|2021-08-01 00:00:00.0|1|4|1|2|2|1115
202108|2021-08-01 00:00:00.0|1|4|1|3|2|864
202108|2021-08-01 00:00:00.0|1|4|2|2|2|573
202108|2021-08-01 00:00:00.0|1|4|2|3|2|462
202108|2021-08-01 00:00:00.0|1|4|3|2|2|495
202108|2021-08-01 00:00:00.0|1|4|3|3|2|542
202108|2021-08-01 00:00:00.0|1|4|4|1|2|2
202108|2021-08-01 00:00:00.0|1|4|4|2|2|121
202108|2021-08-01 00:00:00.0|1|4|4|3|2|88
202108|2021-08-01 00:00:00.0|1|4|5|1|2|1
202108|2021-08-01 00:00:00.0|1|4|5|2|1|1
202108|2021-08-01 00:00:00.0|1|4|5|2|2|133
202108|2021-08-01 00:00:00.0|1|4|5|3|2|79
202108|2021-08-01 00:00:00.0|1|5|1|2|2|174
202108|2021-08-01 00:00:00.0|1|5|1|3|2|146
202108|2021-08-01 00:00:00.0|1|5|2|2|2|131
202108|2021-08-01 00:00:00.0|1|5|2|3|2|86
202108|2021-08-01 00:00:00.0|1|5|3|1|2|1
202108|2021-08-01 00:00:00.0|1|5|3|2|2|81
202108|2021-08-01 00:00:00.0|1|5|3|3|2|74
202108|2021-08-01 00:00:00.0|1|5|4|2|2|11
202108|2021-08-01 00:00:00.0|1|5|4|3|2|7
202108|2021-08-01 00:00:00.0|1|5|5|2|2|8
202108|2021-08-01 00:00:00.0|1|5|5|3|2|4
202108|2021-08-01 00:00:00.0|1|6|1|2|2|699
202108|2021-08-01 00:00:00.0|1|6|1|3|2|591
202108|2021-08-01 00:00:00.0|1|6|2|1|2|1
202108|2021-08-01 00:00:00.0|1|6|2|2|2|556
202108|2021-08-01 00:00:00.0|1|6|2|3|2|366
